name,set,rarity,id,ability,Flavor Text,Unique,Loyal,Legendary,Past,Shard,Artist
Kha'rall Magma Shard,ROTO,Rare,72,"Equipped M'arrillian or Minion has Fire.
Equipped Kha'rall has an additional 25 Energy and ""Defender: Chieftain."" 
This Battlegear begins the game face-up.",,,,,,1,Imaginary Friends Studios
Kha'rall Shard of the Tidal Crest,ROTO,Ultra Rare,73,"Equipped M'arrillian or Minion has ""Water 5.""
At the beginning of combat, equipped Kha'rall gains 40 Energy if there are 8 or more Mugic counters among Creatures you control.
This Battlegear begins the game face-up. ",,1,,,,1,Imaginary Friends Studios
Liquid Thought Evaporator,ROTO,Rare,74,"Attacks played by equipped Creature also count as Water attacks.
When Liquid Thought Evaporator is flipped face-down, equipped Fluidmorpher gains a Mugic counter.",,,,,,,HotShotsVFX
Phobia Plates,ROTO,Super Rare,75,"Creatures engaged with equipped Creature fail all Challenges on attacks they play.
Equipped Creature takes 10 less damage from Mugic.",,,,,,,HotShotsVFX
Vial of Liquid Thought,ROTO,Common,76,"Sacrifice Vial of Liquid Thought: Return an Attack Card from your Attack Discard pile to your hand. If you do, place one Attack Card from your hand on the bottom of your Attack Deck.",,,,,,,HotShotsVFX
Blazier's Map Collection,TOTT,Rare,56,"If equipped Creature moved this turn, at the beginning of combat reveal a new active Location.","If Blazier would only stop mapping new lands and look over his collection, he would discover that he has already found what he's been searching for his entire life.",,,,,,HotShotsVFX
Bronzeflight,TOTT,Rare,57,"Equipped Creature has an additional 20 Speed. 
While an opposing Creature has Range, equipped Creature has ""Defender.""
This Battlegear begins the game face-up.","A marvel of engineering, the Bronzeflight can travel from Mipedim Oasis to Mount Pillar on a single charge.",,,,,,"Keron Grant, Etienne St.Laurent"
Burithean Axe,TOTT,Uncommon,58,"Stat Check Power 50: Equipped Creature has an additional 5 Energy.
Stat Check Power 75: Equipped Creature has ""Intimidate: Energy 10.""","What takes 20 to wield, Rothar swings with one arm!",,,,,,Imaginary Friends Studios
Dread Tread,TOTT,Ultra Rare,59,"If equipped Creature moved this turn and won combat, it may move again. This move may begin a second combat.","The Dread Tread can rip through Kiru City's ""impenetrable"" walls as if they were made of paper.",,Underworld,1,,,HotShotsVFX
Evergreen Tunic,TOTT,Uncommon,60,"Stat Check Courage 50: Equipped Creature has an additional 5 Energy.
Stat Check Courage 75: Equipped Creature has an additional 15 Energy.","The perfect combination of weight, durability and flexibility.",,,,,,"Robert Dizon, Stone Perales"
Flitflut,TOTT,Common,61,"Equipped Creature has an additional 15 Wisdom and 15 Speed. 
Sacrifice Flitflut : Relocate equipped Creature into an unoccupied space. Play this ability only while equipped Creature is unengaged.",,,,,,,Augusto Barranco
Girgeth Tar,TOTT,Super Rare,62,"Equipped OverWorld Creature has an additional 5 Energy.
Sacrifice Girgeth Tar: Heal 20 damage to target Creature. If that Creature is a Caretaker, it also gains a Mugic counter.",,,,,,,HotShotsVFX
Hornsabre,TOTT,Ultra Rare,63,"Opposing Creatures on your side of the Battleboard have ""Recklessness 5.""","Infused with the spirits of warriors past, the luminescent glow intensifies whenever it senses an intruder nearby.",,Overworld,1,,,HotShotsVFX
Ikkatosh's Aichstick,TOTT,Uncommon,64,"Stat Check Wisdom 50: Equipped Creature has an additional 5 Energy.
Stat Check Wisdom 75: The first attack played by equipped Creature has ""Untargetable.""","To aid in the war, Ikkatosh proved he would give part of himself... literally!",,,,,,HotShotsVFX
Levitaar,TOTT,Uncommon,65,"Equipped Creature has an additional 50 Speed.
When equipped Creature is dealt attack damage, deal 5 damage to the opposing engaged Creature.",Raznus's favorite transport before his unfortunate transformation.,,,,,,"Andrew Bradshaw, Chris Fisher, HotShotsVFX"
Mipedian Balladeers' Flute,TOTT,Rare,66,"Sacrifice Mipedian Balladeers' Flute: Equipped Creature gains a Mugic counter. Your opponent may put a Mugic counter on a Creature of their choice.
This Battlegear begins the game face-up.","Melodies, harmonies, cacophonies: Mugicians love all music without prejudice.",,,,,,HotShotsVFX
Obliterators,TOTT,Common,67,"Equipped Creature has Fire. 
Sacrifice Obliterators: Deal 5 damage to target Creature. Play this ability only if you control Dread Tread.",It's the perfect war machine: the Obliterators annihilate anything the Dread Tread fails to steamroll.,,,,,,Imaginary Friends Studios
Ozlai's Wreck,TOTT,Common,68,Sacrifice Ozlai's Wreck: Destroy target Battlegear equipped to an engaged Creature.,"Though Ozlai named ""The Wreck"" after what it can do to other vehicles, many believe that it's named after his state of mind.",1,,,,,Tom Baxa
Residual Lightning Dust,TOTT,Uncommon,69,"Stat Check Speed 50: Equipped Creature has an additional 5 Energy.
Stat Check Speed 75: When equipped Creature takes 20 or more damage from a single source, deal 5 damage to the opposing engaged Creature.",,,,,,,HotShotsVFX
Sahrnokk,TOTT,Super Rare,70,Sacrifice Sahrnokk: Creatures may not end their move in equipped Creature's space.,"As Ørth whizzed by Gespedan to win the race and their wager, Gespedan regretted agreeing to give Ørth naming rights to his next child.",,,,,,Imaginary Friends Studios
Scepter of the Infernal Parasite ,TOTT,Ultra Rare,71,"While engaged with an Infected Creature, equipped Creature has ""Outperform all Disciplines 5.""",The parasites proved once again that determination trumps size every time.,,Danian,1,,,"Augusto Barranco, Etienne St.Laurent"
Van Bloot's Sickle,TOTT,Super Rare,72,"Equipped Creature has an additional 15 Courage. 
Attacks played by equipped Creature have ""The opposing engaged Creature loses 10 Courage.""","Seeing its sharpness, even the most courageous lose heart... just before they lose their heads.",,,,,,Imaginary Friends Studios
Warriors of Owayki ,TOTT,Ultra Rare,73,"Mipedians you control have ""{{MC}}: Deal 10 damage to target engaged Creature."" 
Flip Warriors of Owayki face-down at the end of combat.",,,Mipedian,1,,,HotShotsVFX
Weightless Energy Vessel,TOTT,Rare,74,"Equipped Creature may not be the target of Mugic Cards. 
This Battlegear begins the game face-up.","Even the most unimaginative Mipedians thought the name was too ""on-the-nose.""",,,,,,HotShotsVFX
Wing-Fin,TOTT,Super Rare,75,"Equipped Creature has an additional 15 Courage and 15 Power. 
Sacrifice Wing‐Fin: Relocate equipped Creature into an unoccupied space. Play this ability only while equipped Creature is unengaged.",,,,,,,Augusto Barranco
Aichlyys Wisp,FUN,Common,65,Equipped Creature has an additional 40 Wisdom and 5 Energy.,As ephemeral as dreams and just as cherished.,,,,,,HotShotsVFX
Armbands of Lore,FUN,Common,66,Equipped Creature has an additional 40 Courage and 5 Energy.,"""Total control and domination!? You are fools! Control is an illusion... and that is why you will fail."" 
—Lore",,,,,,Robert Dizon
Bodal's Dagger,FUN,Rare,67,"Equipped Creature deals an additional 10 damage with non-Elemental, non-Discipline Attacks.",,,,,,,Imaginary Friends Studios
Crown of Aa'une,FUN,Ultra Rare,68,"Equipped Creature has Creature Type ""Chieftain"" in addition to its other types. (Minions use Brainwashed text. Minions may only play Generic Mugic.)","For true leaders, the crown does not define the king. The king defines the crown.",,M'arrillians or Minions,1,,,Imaginary Friends Studios
General's Standard,FUN,Super Rare,69,"When General's Standard is revealed, choose a Tribe. Equipped Creature is considered to belong to that Tribe while General's Standard is face-up. (This effect does not end at the end of the turn.)",,,,,,,Dave Droman
Gigantroper,FUN,Super Rare,70,"At the beginning of combat, equipped Creature loses all abilities and gains or loses Courage, Power, Wisdom, Speed and Energy to make those values 70.",,1,,,,,Imaginary Friends Studios
Indigo Sash,FUN,Common,71,Equipped Creature has an additional 40 Speed and 5 Energy.,"""I never expected to see an UnderWorlder wearing the emblem of our noble Mipedian ancestors. And I've never been happier."" 
—Tiaane",,,,,,Robert Dizon
Khybon's Mech-blade,FUN,Common,72,Equipped Creature has an additional 40 Power and 5 Energy.,"The handle hides a trigger that instantly doubles the length of the blade. Naturally, Khybon has not told anyone about this feature.",,,,,,Dave Droman
Mipedian Fulgurite,FUN,Super Rare,73,"Equipped Creature has ""Air 10."" At the end of any combat, destroy Mipedian Fulgurite.","The air crackled and sizzled, as did the enemy.",,,,,,Dave Droman
Muge's Tuningfork,FUN,Rare,74,"Equipped Creature may play Mugic from any Tribe you control.
This Battlegear begins the game face-up. ","Though Mugicians may appear to love one tribe's music over another, the fact remains they they love all music equally.",1,,,,,Imaginary Friends Studios
Riverland Moon,FUN,Common,75,"When equipped Creature deals Water damage, it gains 10 to all Disciplines.",,,,,,,Chris Fisher
Shard of Solitude,FUN,Super Rare,76,"Equipped Creature has an additional 5 Energy.
While equipped Kha'rall is engaged, unengaged Creatures cannot play Mugic or activated abilities.","""Another one? The M'arrillians have more shards than Van Bloot has feathers!"" 
—Takinom",,,,,1,Imaginary Friends Studios
Ankh of Kehn-Sep,AU,Rare,135,Equipped Creature deals an additional 5 attack damage to Creatures with no Elemental Types.,,,,,,,Stone Perales
Aquatic Familiar,AU,Common,136,"Equipped Creature has ""Expend Water: Gain 50 Wisdom.""",,,,,,,Peter Bergting
AZAIA Mindprobe,AU,Rare,134,"Equipped Creature cannot be targeted by Mugic or abilities played by Creatures with lower Wisdom than it.
This Battlegear begins the game face-up.",,,,,,,Imaginary Friends Studios
Bi-Mowercycle,AU,Rare,137,"Equipped Creature has ""Range"" and ""Swift 1.""
Sacrifice Bi-Mowercycle: Target Creature gains ""Range"" and ""Swift 1.""
This Battlegear begins the game face-up.",,,,,,,HotShotsVFX
Citadel Fragments,AU,Common,138,Equipped Creature has an additional 5 Energy and 5 in each Discipline for each Elemental Type it has.,,,,,,,Stone Perales
Citadel Lodestone,AU,Common,139,"When equipped Creature becomes engaged, it gains Earth.",,,,,,,Stone Perales
Colstone,AU,Super Rare,140,"When a Creature engaged with the equipped Creature fails a Discipline check on an attack it played, the equipped Creature gains 10 Energy.",,,,,,,Stone Perales
Double Edge,AU,Common,141,"At the beginning of combat, choose ""Fire 5,"" ""Air 5,"" ""Earth 5"" or ""Water 5."" Equipped Creature gains the chosen ability and ""Recklessness 5.""",,,,,,,"Edwin Nebres, Anthony Washington, Emilio Lopez"
"Drilldozer, Customized Rig",AU,Rare,142,"Equipped Creature has an additional 10 Energy. If equipped Creature has Earth, it has an additional 10 Energy.",,,,,,,HotShotsVFX
Flameblade of Seeryn,AU,Super Rare,143,"Whenever equipped Creature deals 30 or more Fire damage with a single attack, destroy target Battlegear.",,,,,,,Stone Perales
Hyperhover,AU,Rare,144,"Equipped Creature has ""Untargetable"" if it has moved this turn.",,,,,,,HotShotsVFX
Kha'rall Shard of the Staunch,AU,Rare,145,"Equipped Creature has Water.
Equipped Kha'rall has an additional 15 Energy and ""Defender: Water.""
This Battlegear begins the game face-up.",,,,,,1,Stone Perales
Metabolic Overloader,AU,Common,146,"Equipped Creature has ""Expend Fire: Gain 50 Power.""",,,,,,,Peter Bergting
Mysterious Clawblade,AU,Common,147,"Equipped Creature has ""Expend Air: Gain 50 Speed.""",,,,,,,Stone Perales
Orb of Unda,AU,Rare,148,"Sacrifice Orb of Unda: Put a Mugic counter on equipped Creature. If equipped Creature has Water, heal 10 damage from it.",,,,,,,Stone Perales
Orchis Undin,AU,Common,149,"When equipped Creature becomes engaged, it gains Water.",,,,,,,Stone Perales
Phoenix Belt,AU,Rare,150,"Sacrifice Phoenix Belt: Deal 10 damage to target Creature. If equipped Creature has Fire, deal an additional 10 damage.",,,,,,,Stone Perales
Pranker Tanker,AU,Super Rare,151,"At the beginning of each turn, equipped Creature must swap places with another Creature you control.
This Battlegear begins the game face-up.",,,,,,,"Andrew Bradshaw, Anthony Washington, David Rodriguez"
Quranium Pendant,AU,Common,152,"Equipped Creature has ""Expend Earth: Gain 50 Courage.""",,,,,,,Stone Perales
Sandstorm Shroud,AU,Common,153,"When equipped Creature becomes engaged, it gains Air.",,,,,,,Stone Perales
Scarab of Khilai,AU,Super Rare,154,Equipped Creature and Creatures engaged with it cannot lose Elemental Types.,,,,,,,Stone Perales
Skopolon,AU,Super Rare,155,"At the beginning of each turn, you may look at target face-down Battlegear you do not control.
This Battlegear begins the game face-up.",,,,,1,,Stone Perales
Stormbird Statues,AU,Rare,156,"Equipped Creature has ""Swift 1."" If equipped Creature has Air, it has ""Surprise.""
This Battlegear begins the game face-up.",,,,,,,Stone Perales
Sun Chariot of Kehn-Sep,AU,Common,157,"When equipped Creature becomes engaged, it gains Fire.",,,,,,,Stone Perales
Trident of Treachery,AU,Rare,158,"If equipped Creature would deal 20 or more Fire attack damage, it may deal 10 damage to target Creature instead.",,,,,1,,Stone Perales
Ulmanator,AU,Rare,159,Creatures engaged with equipped Creature have 10 less to all Disciplines for each Elemental Type they have.,,,,,,,HotShotsVFX
Varanohs,AU,Rare,160,"Equipped Creature has ""Range"" and ""Swift 1"" for each Creature in your discard pile.
This Battlegear begins the game face-up.",,,,,1,,Stone Perales
"Vlaric Shard, Relic of the Past",AU,Rare,161,"Equipped Creature with Earth deals an additional 5 attack damage.
When you shuffle your Attack Deck, destroy Vlaric Shard.",,,,,1,,Stone Perales
Xerium Armor,AU,Ultra Rare,162,"If equipped Creature would take more than 20 damage from an attack, it takes 20 damage instead.",,1,,,,,"Khary Randolph, Etienne St.Laurent"
Armor of Earthen Might,FAS,Rare,23,"Equipped Creature with Earth takes 10 less damage from Mugic and activated abilities.
This Battlegear begins the game face-up.",,,,,,,Stone Perales
Droskin,OP1,Promo,81,Sacrifice Droskin: Negate target attack. Play this ability only if the equipped Creature is engaged.,The Droskin is rumored to be able to absorb even the most devastating attacks.,1,,,,,"Jimmy Tran, Imaginary Friends Studios"
The Indigo Arc,OP1,Promo,65,"Equipped Creature's first attack each combat has ""Untargetable.""",The blade cuts with such force that neither armor nor Mugic can slow its strikes.,1,,,,,HotShotsVFX
Flux Bauble,OP1,Rare,14,"At the beginning of combat, look at the top two cards of your Location Deck. Put one of them on top of that deck and the other on the bottom.",,,,,,,Imaginary Friends Studios
Orb of Foresight,OP1,Rare,15,"At the beginning of combat, look at the top three cards of your Attack Deck. Put one of them on top of that deck and the other two on the bottom in any order.",,,,,,,Imaginary Friends Studios
Talisman of the Mandiblor,OP1,Super Rare,16,"Equipped Creature has an additional 15 Speed.
If equipped Creature is Danian, it has ""Sacrifice this Creature: Return a Mandiblor from your general discard pile to play in any open space.""",,,,,,,Imaginary Friends Studios
Bodal's Element Converter,LR,Rare,13,"Equipped Creature has ""Fire 5"" and ""Water 5.""
When equipped Creature deals 25 or more damage with a single attack, flip Bodal's Element Converter face-down.",,,,,,,Imaginary Friends Studios
Kha'rall Shard of Chance,LR,Super Rare,14,"Equipped Creature has an additional 5 Energy and Air.
While equipped Kha'rall is engaged, Creatures play attacks at random.",,,,,,1,Imaginary Friends Studios
Mommark's Energy Infuser,LR,Ultra Rare,15,"At the beginning of combat, equipped Creature gains 5 Energy for each Mugic counter on it. The equipped Creature may gain no more than 40 Energy this way.
If equipped Creature has no Mugic counters, destroy it.",,1,,,,,Imaginary Friends Studios
Olkiex' Apron,LR,Uncommon,16,"Equipped Creature has ""When this Creature becomes engaged, flip the opposing engaged Creature's Battlegear face‐down.""",,,,,,,Imaginary Friends Studios